ObjectId,Date,Daily_Cases,Cumulative_Cases,Recoveries,Total_Recoveries,Deaths,Total_Deaths,New_ICU_Admissions,Current_ICU___Total,Current_ICU___Active,Cumulative_ICU_Admissions,New_IP_Admissions_Total,Current_Hospitalizations___Tota,Current_Hospitalizations___Acti,Cumulative_IP_Admissions,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,Cumulative_Tests
438,2021/05/21 05:00:00+00,470,48025,405,42768,3,1038,7,55,44,634,42,312,233,3205,189,3986,14.2,3729,743302
439,2021/05/22 05:00:00+00,413,48438,360,43128,1,1039,5,55,43,639,30,330,248,3235,205,4023,14.4,3240,746542
440,2021/05/23 05:00:00+00,368,48806,382,43510,3,1042,5,53,43,644,28,334,253,3263,210,4001,14.3,3012,749554
441,2021/05/24 05:00:00+00,244,49050,334,43844,3,1045,12,58,47,656,21,329,247,3284,200,3914,13.8,2485,752039
442,2021/05/25 05:00:00+00,312,49362,345,44189,3,1048,11,57,47,667,31,336,244,3315,197,3881,13.2,2508,754547
443,2021/05/26 05:00:00+00,310,49672,420,44609,2,1050,10,61,49,677,33,349,249,3348,200,3764,12.5,3453,758000
444,2021/05/27 05:00:00+00,488,50160,402,45011,5,1055,5,58,45,682,24,339,240,3372,195,3854,12.5,3685,761685
445,2021/05/28 05:00:00+00,348,50508,386,45397,3,1058,5,55,43,687,25,335,242,3397,199,3811,12.4,2782,764467
446,2021/05/29 05:00:00+00,276,50784,302,45699,1,1059,10,57,44,697,24,336,245,3421,201,3781,12.3,3007,767474
447,2021/05/30 05:00:00+00,310,51094,342,46041,7,1066,10,59,44,707,23,340,247,3444,203,3740,12.1,2607,770081
448,2021/05/31 05:00:00+00,226,51320,288,46329,6,1072,7,60,46,714,22,335,241,3466,195,3678,11.9,2511,772592
449,2021/06/01 05:00:00+00,276,51596,239,46568,7,1079,8,58,44,722,21,336,246,3487,202,3703,11.4,2927,775519
450,2021/06/02 05:00:00+00,349,51945,450,47018,2,1081,10,62,47,732,22,339,246,3509,199,3600,11.4,3216,778735
451,2021/06/03 05:00:00+00,323,52268,335,47353,4,1085,4,59,42,736,23,335,236,3532,194,3594,11.4,2694,781429
452,2021/06/04 05:00:00+00,266,52534,305,47658,2,1087,6,57,43,742,24,338,243,3556,200,3546,11.6,2487,783916
453,2021/06/05 05:00:00+00,226,52760,256,47914,3,1090,4,60,44,746,16,343,244,3572,200,3512,12,2013,785929
454,2021/06/06 05:00:00+00,177,52937,243,48157,3,1093,2,59,43,748,13,340,236,3585,193,3451,12,1841,787770
455,2021/06/07 05:00:00+00,227,53164,337,48494,4,1097,7,61,47,755,16,336,239,3601,192,3334,12,1994,789764
456,2021/06/08 05:00:00+00,251,53415,285,48779,3,1100,5,63,48,760,16,323,223,3617,175,3313,11.6,2718,792482
457,2021/06/09 05:00:00+00,249,53664,435,49214,5,1105,2,58,42,762,17,312,214,3634,172,3131,11.1,2617,795099
458,2021/06/10 05:00:00+00,230,53894,322,49536,2,1107,3,56,42,765,12,304,205,3646,163,3046,10.7,2346,797445
459,2021/06/11 05:00:00+00,273,54167,313,49849,4,1111,2,48,37,767,25,310,211,3671,174,2996,10.9,2544,799989
460,2021/06/12 05:00:00+00,201,54368,320,50169,3,1114,3,49,40,770,12,296,201,3683,161,2884,10.8,1952,801941
461,2021/06/13 05:00:00+00,125,54493,297,50466,2,1116,4,52,43,774,16,297,201,3699,158,2710,10.7,1680,803621
462,2021/06/14 05:00:00+00,132,54625,206,50672,4,1120,6,52,43,780,22,297,193,3721,150,2640,10.6,1581,805202
463,2021/06/15 05:00:00+00,131,54756,221,50893,4,1124,8,55,45,788,6,281,180,3727,135,2559,9.7,2174,807376
464,2021/06/16 05:00:00+00,172,54928,401,51294,2,1126,4,56,45,792,9,274,169,3736,124,2339,8.8,2080,809456
465,2021/06/17 05:00:00+00,171,55099,262,51556,1,1127,0,52,40,792,6,266,156,3742,116,2260,8.3,2170,811626
466,2021/06/18 05:00:00+00,139,55238,221,51777,3,1130,5,51,39,797,9,255,153,3751,114,2178,8.3,1952,813578
467,2021/06/19 05:00:00+00,92,55330,184,51961,4,1134,3,48,36,800,15,259,156,3766,120,2079,8,1398,814976
468,2021/06/20 05:00:00+00,80,55410,128,52089,3,1137,7,52,38,807,9,254,153,3775,115,2031,8,1585,816561
469,2021/06/21 05:00:00+00,74,55484,224,52313,2,1139,2,48,36,809,5,242,143,3780,107,1889,7.6,1242,817803
470,2021/06/22 05:00:00+00,122,55606,169,52482,1,1140,1,48,36,810,6,232,129,3786,93,1855,7.1,2014,819817
471,2021/06/23 05:00:00+00,99,55705,163,52645,1,1141,3,46,34,813,10,227,121,3796,87,1798,6.4,2207,822024
472,2021/06/24 05:00:00+00,83,55788,137,52782,1,1142,2,45,34,815,3,212,110,3799,76,1754,5.9,1713,823737
473,2021/06/25 05:00:00+00,93,55881,200,52982,0,1142,2,46,35,817,10,207,107,3809,72,1650,6.1,1306,825043
474,2021/06/26 05:00:00+00,96,55977,125,53107,2,1144,0,43,33,817,9,212,112,3818,79,1614,6.6,1631,826674
475,2021/06/27 05:00:00+00,64,56041,72,53179,2,1146,3,44,32,820,8,213,113,3826,81,1603,6.2,1490,828164
476,2021/06/28 05:00:00+00,63,56104,73,53252,3,1149,1,40,27,821,3,200,104,3829,77,1599,6.3,1129,829293
