date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2019-11-10,35,False,48,13,18,38,36,42,0,0,0,0,0,0,-1
2019-11-17,42,False,41,48,36,0,35,29,64,22,30,0,0,0,-1
2019-11-24,43,False,47,17,0,37,28,46,0,42,0,0,0,0,-1
2019-12-01,47,False,35,35,0,38,35,24,0,0,0,0,0,0,-1
2019-12-08,55,False,50,50,18,19,53,83,68,22,0,75,0,0,-1
2019-12-15,38,False,36,37,19,39,21,25,0,0,63,0,0,0,-1
2019-12-22,34,False,39,5,0,0,28,11,36,0,0,0,0,0,-1
2019-12-29,35,False,51,22,0,0,28,35,33,0,29,0,0,0,-1
2020-01-05,39,False,13,21,0,18,22,37,0,40,27,0,0,0,-1
2020-01-12,39,False,65,28,0,18,43,41,0,0,27,0,0,0,-1
2020-01-19,52,False,48,51,0,19,38,42,0,21,0,0,0,0,-1
2020-01-26,41,False,41,59,18,19,34,32,31,21,0,0,0,0,-1
2020-02-02,46,False,48,30,18,37,39,56,0,41,27,0,0,0,-1
2020-02-09,51,False,34,13,36,37,40,47,0,0,0,0,0,0,-1
2020-02-16,38,False,54,25,18,18,38,31,0,41,0,67,0,0,-1
2020-02-23,35,False,57,35,34,0,31,22,0,39,0,0,0,86,-1
2020-03-01,38,False,50,27,33,69,27,32,0,57,28,0,0,0,-1
2020-03-08,37,False,54,34,32,0,29,34,0,38,0,0,0,87,-1
2020-03-15,34,False,28,38,0,15,23,34,0,19,0,0,0,0,-1
2020-03-22,55,False,28,43,30,15,42,45,0,18,24,0,0,0,-1
2020-03-29,51,False,59,40,29,29,21,16,25,52,0,52,0,0,-1
2020-04-05,50,False,37,43,14,29,41,31,25,17,0,0,0,0,-1
2020-04-12,46,False,39,40,44,58,34,43,25,0,0,0,0,0,-1
2020-04-19,52,False,28,35,15,44,47,39,0,17,0,56,66,0,-1
2020-04-26,38,False,34,42,30,15,36,8,27,18,0,0,0,0,-1
2020-05-03,39,False,45,14,60,44,24,27,0,18,0,0,69,0,-1
2020-05-10,42,False,34,29,31,30,34,40,26,35,23,0,0,0,-1
2020-05-17,39,False,34,22,16,65,41,21,0,39,25,0,0,0,-1
2020-05-24,34,False,12,29,16,16,30,21,0,0,24,0,0,0,-1
2020-05-31,35,False,57,46,31,32,25,20,0,0,0,0,0,0,-1
2020-06-07,31,False,45,35,31,16,32,37,54,19,47,0,0,0,-1
2020-06-14,35,False,35,22,16,33,26,31,29,41,51,0,0,0,-1
2020-06-21,38,False,42,15,17,70,29,31,61,0,0,0,0,0,-1
2020-06-28,31,False,6,31,0,18,21,13,0,0,0,0,0,0,-1
2020-07-05,29,False,38,23,0,18,20,36,0,21,49,64,0,0,-1
2020-07-12,34,False,6,32,18,54,26,18,0,42,0,0,0,0,-1
