"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","63276","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","63612","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","64112","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","64556","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","65268","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","65888","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Paid rental fees for housing [C141]","Dollars","81","millions","6","v61988968","1.1.1.11","66468","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","187140","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","188240","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","189492","","","","0"
